MT;Sudeste Mato-grossense;Rondonópolis;Rondonópolis;81366;125107;150227;195476;244897
MT;Centro-Sul Mato-grossense;Rosário Oeste;Rosário Oeste;19758;20046;18755;17679;15453
MT;Sudoeste Mato-grossense;Jauru;Salto do Céu;11191;7403;4675;3908;5374
MT;Norte Mato-grossense;Sinop;Santa Carmem;0;0;3599;4085;2519
MT;Norte Mato-grossense;Norte Araguaia;Santa Cruz do Xingu;0;0;0;1900;2875
MT;Norte Mato-grossense;Alto Teles Pires;Santa Rita do Trivelato;0;0;0;2491;17849
MT;Nordeste Mato-grossense;Norte Araguaia;Santa Terezinha;3304;8903;6270;7397;14901
MT;Centro-Sul Mato-grossense;Alto Paraguai;Santo Afonso;0;0;3098;2991;5965
MT;Nordeste Mato-grossense;Canarana;Santo Antônio do Leste;11722;15313;0;3754;4191
MT;Centro-Sul Mato-grossense;Cuiabá;Santo Antônio do Leverger;0;0;15435;18463;2661
MT;Nordeste Mato-grossense;Norte Araguaia;São Félix do Araguaia;10672;14363;10687;10625;3679
MT;Sudeste Mato-grossense;Rondonópolis;São José do Povo;0;0;3056;3592;3276
MT;Norte Mato-grossense;Arinos;São José do Rio Claro;7211;16398;12740;17124;7596
MT;Nordeste Mato-grossense;Norte Araguaia;São José do Xingu;0;0;5944;5240;4099
MT;Sudeste Mato-grossense;Jauru;São José dos Quatro Marcos;18204;22001;19693;18998;15246
MT;Sudeste Mato-grossense;Rondonópolis;São Pedro da Cipa;0;0;3495;4158;13612
MT;Norte Mato-grossense;Parecis;Sapezal;0;0;7866;18094;28944
MT;Nordeste Mato-grossense;Norte Araguaia;Serra Nova Dourada;0;0;0;1365;1800
MT;Norte Mato-grossense;Sinop;Sinop;12232;38327;74831;113099;196067
MT;Norte Mato-grossense;Alto Teles Pires;Sorriso;1605;15964;35605;66521;110635
MT;Norte Mato-grossense;Arinos;Tabaporã;0;0;10842;9932;9812
MT;Sudoeste Mato-grossense;Tangará da Serra;Tangará da Serra;31303;39840;58840;83431;106434
MT;Norte Mato-grossense;Alto Teles Pires;Tapurah;2110;7309;11561;10392;14370
MT;Norte Mato-grossense;Colider;Terra Nova do Norte;5659;22374;13694;11291;10616
MT;Sudeste Mato-grossense;Tesouro;Tesouro;3695;4558;3130;3418;3025
MT;Sudeste Mato-grossense;Tesouro;Torixoréu;8087;8353;4832;4071;4164
MT;Norte Mato-grossense;Sinop;União do Sul;0;0;4196;3760;3838
MT;Sudeste Mato-grossense;Alto Guaporé;Vale de São Domingos;0;0;0;3052;2904
MT;Centro-Sul Mato-grossense;Cuiabá;Várzea Grande;76676;151608;215298;252596;299472
MT;Norte Mato-grossense;Sinop;Vera;2759;10754;9055;10235;12800
MT;Sudoeste Mato-grossense;Alto Guaporé;Vila Bela da Santíssima Trindade;5191;13647;12665;14493;16774
MT;Nordeste Mato-grossense;Norte Araguaia;Vila Rica;2692;9441;15583;21382;19888
